Stationsnummer: 2030
Stationsname: Thun
DBLH-Nr: 00111
Gewässer: Aare
Exportperiode: 2024-05-01 - 2024-09-30
Parameter: Pegel
Parametereinheit: m ü.M.
Zeitreihe: 10-Min-Mittel
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 05:50:00;;548.976;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 06:00:00;;548.976;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 06:10:00;;548.976;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 06:20:00;;548.976;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 06:30:00;;548.976;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 06:40:00;;548.976;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 06:50:00;;548.977;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 07:00:00;;548.976;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 07:10:00;;548.975;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 07:20:00;;548.975;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 07:30:00;;548.974;Freigegeben, geprüfte Daten
Thun;2030;Pegel;10-Min-Mittel;m ü.M.;Aare;2024-05-02 07:40:00;;548.974;Freigegeben, geprüfte Daten
